|Sequence|o1_llm|o2_llm|o3_llm|o4_llm|o5_llm|o6_llm|o7_llm
0|a grey thing facing forwards|-39.108943939208984|-44.859588623046875|-20.550579071044922|-22.301694869995117|-41.847900390625|-42.02853775024414|-22.773723602294922
1|a grey thing facing to the left|-50.59453582763672|-52.31748580932617|-27.02969741821289|-27.408525466918945|-47.59061050415039|-47.3234748840332|-27.540773391723633
2|a grey thing|-36.807273864746094|-42.395999908447266|-18.102453231811523|-20.10681915283203|-39.54962158203125|-39.71979522705078|-20.35770034790039
3|a grey thing facing backwards|-47.088504791259766|-51.06644821166992|-25.163021087646484|-26.79056739807129|-46.727535247802734|-46.31485366821289|-26.94542121887207
4|a grey fan facing forwards|-39.52583312988281|-44.25814437866211|-20.7607364654541|-22.652545928955078|-36.12469482421875|-36.187347412109375|-16.96504020690918
5|a grey fan facing to the left|-42.91929244995117|-46.31934356689453|-22.79678726196289|-22.643630981445312|-39.73582458496094|-39.55272674560547|-17.730283737182617
6|a grey fan|-37.679630279541016|-42.43620300292969|-18.724336624145508|-20.24875259399414|-34.91215133666992|-34.98090744018555|-15.152538299560547
7|a grey fan facing backwards|-42.087615966796875|-44.67732238769531|-20.44807243347168|-23.317203521728516|-38.992637634277344|-36.840179443359375|-18.48129653930664
8|a grey desk facing forwards|-24.20928192138672|-34.78229522705078|-11.505708694458008|-13.038337707519531|-32.90335464477539|-33.16107177734375|-14.017417907714844
9|a grey desk facing to the left|-36.16703796386719|-41.81548309326172|-18.539684295654297|-19.17340660095215|-39.42402648925781|-39.78013229370117|-20.26801872253418
10|a grey desk|-23.164409637451172|-32.758785247802734|-9.247369766235352|-11.02010440826416|-30.868040084838867|-31.496191024780273|-11.80155086517334
11|a grey desk facing backwards|-34.149497985839844|-41.816802978515625|-18.350616455078125|-19.1900577545166|-39.536109924316406|-39.78607940673828|-20.26356315612793
12|a red thing facing forwards|-48.858551025390625|-48.387237548828125|-23.308040618896484|-26.786579132080078|-48.01461410522461|-45.45743942260742|-28.056697845458984
13|a red thing facing to the left|-49.359580993652344|-49.78242874145508|-24.607521057128906|-27.200759887695312|-48.69192123413086|-45.5579719543457|-27.720582962036133
14|a red thing|-42.22365951538086|-43.39603042602539|-14.426118850708008|-21.21466064453125|-41.70188522338867|-37.156917572021484|-21.43256378173828
15|a red thing facing backwards|-44.42253875732422|-45.5523681640625|-16.67156982421875|-23.414453506469727|-43.624778747558594|-38.951290130615234|-23.65162467956543
16|a red fan facing forwards|-38.68210983276367|-40.28544616699219|-14.563369750976562|-18.860746383666992|-36.95246887207031|-31.93219757080078|-17.113121032714844
17|a red fan facing to the left|-39.77488327026367|-41.04027557373047|-14.21434211730957|-19.07717514038086|-37.42845916748047|-31.460458755493164|-17.09140968322754
18|a red fan|-34.557769775390625|-36.53846740722656|-7.644839286804199|-14.631193161010742|-31.786705017089844|-25.292156219482422|-12.20396614074707
19|a red fan facing backwards|-35.212249755859375|-37.458797454833984|-8.740996360778809|-15.574057579040527|-32.4748420715332|-25.8398380279541|-12.874421119689941
20|a red desk facing forwards|-35.98563003540039|-36.90812301635742|-9.541237831115723|-15.084423065185547|-37.030426025390625|-33.32350158691406|-16.73800277709961
21|a red desk facing to the left|-37.76448059082031|-38.95304489135742|-9.570701599121094|-16.49209976196289|-39.20289611816406|-34.074161529541016|-18.636192321777344
22|a red desk|-31.712173461914062|-33.773765563964844|-1.7075587511062622|-11.3878755569458|-33.311222076416016|-28.18671989440918|-12.935462951660156
23|a red desk facing backwards|-32.31574249267578|-34.659358978271484|-2.5379114151000977|-12.374560356140137|-34.57941818237305|-29.08563804626465|-14.239025115966797
24|a green thing facing forwards|-48.8548698425293|-48.84701156616211|-27.212434768676758|-26.051923751831055|-47.63418197631836|-47.13959884643555|-25.672645568847656
25|a green thing facing to the left|-43.16794967651367|-43.07265090942383|-21.534069061279297|-19.08378791809082|-41.98705291748047|-41.15166473388672|-18.47296905517578
26|a green thing|-40.220977783203125|-40.35182189941406|-18.130111694335938|-15.185796737670898|-38.26173400878906|-38.37067413330078|-15.181863784790039
27|a green thing facing backwards|-47.69358444213867|-47.84934997558594|-25.89695167541504|-25.809738159179688|-47.768253326416016|-45.68669128417969|-25.357194900512695
28|a green fan facing forwards|-39.12301254272461|-39.934078216552734|-18.290082931518555|-19.242385864257812|-36.887386322021484|-37.32573318481445|-14.772762298583984
29|a green fan facing to the left|-32.99497985839844|-33.71672439575195|-12.016854286193848|-11.869026184082031|-30.83944320678711|-31.353622436523438|-7.409158706665039
30|a green fan|-32.01351547241211|-32.57251739501953|-10.6580171585083|-9.968954086303711|-29.347734451293945|-30.493616104125977|-5.581853866577148
31|a green fan facing backwards|-38.8067626953125|-39.67289352416992|-17.85454750061035|-19.70343780517578|-38.19451141357422|-36.86293029785156|-15.561800956726074
32|a green desk facing forwards|-36.536521911621094|-38.59641647338867|-17.222030639648438|-13.01954460144043|-36.47015380859375|-36.47203826904297|-14.624649047851562
33|a green desk facing to the left|-31.68071746826172|-33.2488899230957|-11.892622947692871|-6.087904930114746|-32.38360595703125|-32.74103546142578|-8.610989570617676
34|a green desk|-30.696157455444336|-31.905555725097656|-10.266377449035645|-4.48048210144043|-30.306589126586914|-31.249330520629883|-6.772577285766602
35|a green desk facing backwards|-36.50791931152344|-38.40412521362305|-16.846778869628906|-14.006706237792969|-37.22937774658203|-35.32084274291992|-14.75259017944336
36|a thing facing forwards|-41.682796478271484|-44.173362731933594|-26.69781494140625|-28.446514129638672|-43.44703674316406|-45.729679107666016|-28.134828567504883
37|a thing facing to the left|-51.368736267089844|-51.24910354614258|-28.184410095214844|-21.580869674682617|-49.540489196777344|-46.70600509643555|-20.740245819091797
38|a thing|-36.521873474121094|-38.65870666503906|-14.781892776489258|-16.469200134277344|-37.11114501953125|-36.369117736816406|-16.311595916748047
39|a thing facing backwards|-49.42407989501953|-51.122276306152344|-20.64739990234375|-27.841856002807617|-49.48363494873047|-40.638397216796875|-27.594562530517578
