|Sequence|Object|p_llm
0|a grey chair facing back|0|-31.02655601501465
1|a large grey chair facing away|0|-30.568405151367188
2|a large, grey chair  facing backwards|0|-30.26949691772461
3|a backwards facing grey chair|0|-31.006391525268555
4|a grey chair, facing backwards|0|-29.672164916992188
5|a large grey chair that is facing backwards|0|-31.258020401000977
6|a large, grey, backwards-facing chair|0|-30.627784729003906
7|a backwards grey chair|0|-29.025775909423828
8|a grey, large chair facing backwards|0|-29.763025283813477
9|a grey chair |0|-30.39471435546875
10|a large grey chair 1|0|-30.913223266601562
11|a large grey chair |0|-29.6405086517334
12|a backwards-facing grey chair|0|-28.80329704284668
13|a large, grey chair facing backward|0|-29.981231689453125
14|a large chair facing backwards|0|-28.35926055908203
15|a large, grey chair facing forwards|0|-30.47796058654785
16|a large grey chair backwards|0|-30.58566665649414
17|a large, grey chair that is facing backwards|0|-30.829910278320312
18|a large grey chair facing backwards 1|0|-31.590206146240234
19|"a large grey chair facing backwards"""|0|-30.756473541259766
20|a large grey chair is facing backwards|0|-30.882692337036133
21|a large grey chair facing backward|0|-29.129114151000977
22|a large chair|0|-30.702777862548828
23|a large grey chair facing backwards |0|-28.467411041259766
24|a large, grey chair|0|-29.544845581054688
25|a large, grey chair, facing backwards|0|-32.10293960571289
26|a large grey chair facing backwards is in the room|0|-31.480806350708008
27|a grey chair backwards|0|-30.37908935546875
28|a grey chair facing forwards|0|-30.80780601501465
29|a large, grey chair facing backwards|0|-28.650625228881836
30|a backwards-facing large grey chair|0|-30.918582916259766
31|a|0|-29.42753791809082
32|a huge grey chair facing away|0|-30.781064987182617
33|a large, grey chair |0|-28.607345581054688
34|a large grey chair facing backwards|0|-25.233036041259766
35|a grey, large chair, facing backwards|0|-31.530967712402344
36|a chair, grey, large, facing backwards|0|-31.165111541748047
37|a large grey chair|0|-30.3201961517334
38|a grey chair that is facing backwards|0|-30.868772506713867
39|a grey chair facing backwards|0|-30.169719696044922
40|a large gray chair facing backwards|0|-30.25553321838379
41|a big grey chair facing away|0|-30.61952018737793
42|a large grey chair facing backwards in the room|0|-29.972129821777344
43|a grey chair is facing backwards|0|-30.87823486328125
44|a large, grey chair 1|0|-30.65612030029297
45|a large grey chair, facing backwards|0|-29.69441032409668
0|a  large, grey chair facing forwards|1|-8.841106414794922
1|a large,|1|-9.852560997009277
2|a large, grey chair is facing forwards|1|-8.949362754821777
3|a large, grey chair, facing forwards, in the room|1|-12.477724075317383
4|a grey chair|1|-9.225751876831055
5|a large grey chair  facing forwards|1|-10.976198196411133
6|"a large grey chair facing forwards"""|1|-10.259654998779297
7|a large, grey chair faces forwards|1|-10.486191749572754
8|a large, grey chair  facing forwards|1|-7.912581920623779
9|a backwards grey chair|1|-10.332893371582031
10|a large grey chair facing forwards|1|-5.165904521942139
11|a large, grey chair  (2)|1|-11.12203311920166
12|a large chair facing forwards|1|-7.172751426696777
13|a large|1|-9.700000762939453
14|a backwards-facing grey chair|1|-9.463263511657715
15|a large, grey chair facing forwards|1|-0.9787704944610596
16|a large grey chair facing forward|1|-8.65369987487793
17|a small, grey desk facing backwards|1|-9.953380584716797
18|a large gray chair facing forwards|1|-10.281970977783203
19|a large grey chair facing forwards in the room|1|-10.297759056091309
20|a large, grey chair  |1|-10.321762084960938
21|a large, grey chair, facing forwards|1|-13.08604621887207
22|a large grey chair that is facing forwards|1|-11.037020683288574
23|a large, grey chair, facing forwards, in a room|1|-14.175924301147461
24|a large chair|1|-10.147727012634277
25|a large grey chair is facing forwards|1|-10.555809020996094
26|a large, grey chair|1|-4.3842620849609375
27|a large, grey desk facing forwards|1|-8.254768371582031
28|a large, grey chair (2) facing forwards|1|-15.213058471679688
29|a large grey chair facing the front|1|-10.654764175415039
30|a grey chair facing forwards|1|-6.367899417877197
31|a forward-facing grey chair|1|-9.58892822265625
32|a large, grey chair facing backwards|1|-10.182963371276855
33|a grey chair facing forward|1|-10.102273941040039
34|a|1|-7.943454742431641
35|a large, grey chair facing forward|1|-9.36158275604248
36|a large, grey chair |1|-7.0326995849609375
37|a chair facing forwards|1|-7.5000386238098145
38|a small, grey chair facing backwards|1|-9.377182006835938
39|a large grey chair facing forwards |1|-8.290904998779297
40|a large grey chair, facing forwards|1|-9.839009284973145
41|a large, grey chair that is facing forwards|1|-8.91743278503418
0|a large, red chair-facing backwards|2|-10.02232837677002
1|a large,|2|-9.078238487243652
2|a large red chair, facing backwards|2|-10.114999771118164
3|a  large, red chair facing backwards|2|-9.312915802001953
4|a large, red chair is facing backwards|2|-9.171826362609863
5|a red chair facing backwards |2|-9.204720497131348
6|a large, red chair facing backwards|2|-1.3130062818527222
7|a large, red chair that is facing backwards|2|-9.90086555480957
8|a red chair facing backwards in the room|2|-9.667455673217773
9|"a large, red chair"""|2|-9.841268539428711
10|a red chair|2|-4.7555437088012695
11|a large, red chair  |2|-9.817831039428711
12|a large|2|-9.066641807556152
13|a large, red chair faces backwards|2|-10.162108421325684
14|a large, red chair facing forwards|2|-9.678236961364746
15|a large, red desk|2|-8.035623550415039
16|a large chair facing backwards|2|-9.796709060668945
17|a large red chair is facing backwards|2|-10.1444673538208
18|a small, grey desk facing backwards|2|-9.40087604522705
19|a large chair|2|-8.959023475646973
20|a large red chair facing backwards|2|-7.462148666381836
21|a large, red chair|2|-3.544393539428711
22|a large red chair |2|-9.33527946472168
23|a red chair is facing backwards|2|-8.9776611328125
24|a large, red chair facing backward|2|-8.141131401062012
25|a large red chair facing backward|2|-8.04427719116211
26|a|2|-7.368907451629639
27|a large red chair|2|-9.32746696472168
28|a large, red chair, facing backwards|2|-8.354312896728516
29|a small, grey chair facing backwards|2|-8.873891830444336
30|a large, red chair |2|-6.638143539428711
31|a large, red chair  facing backwards|2|-9.85800552368164
32|a red chair, facing backwards|2|-8.184118270874023
33|a red chair facing backwards|2|-5.400032997131348
34|a red chair |2|-7.7555437088012695
35|a red chair facing backward|2|-8.268287658691406
0|a small, grey, backwards-facing chair|3|-31.404630661010742
1|a small, grey chair is facing backwards|3|-30.68563461303711
2|a |3|-31.897871017456055
3|a grey desk facing backwards|3|-30.59610939025879
4|a large, red chair facing backwards|3|-30.16512107849121
5|a small chair facing backwards|3|-29.288095474243164
6|a small, grey chair face|3|-31.050251007080078
7|a small, grey chair facing|3|-31.8205509185791
8|a small|3|-31.65093231201172
9|a small, grey chair, facing backwards|3|-31.835725784301758
10|a small, grey chair  (4)|3|-32.13164138793945
11|a small, grey chair faces backwards|3|-32.08583450317383
12|a small, grey chair  facing backwards|3|-31.945602416992188
13|a small, grey chair facing |3|-32.00804901123047
14|a  small, grey chair facing backwards|3|-31.066211700439453
15|a large, grey chair facing forwards|3|-29.433351516723633
16|a small, grey chair with its back to the viewer|3|-33.675872802734375
17|a small,|3|-31.220909118652344
18|a small, grey desk facing backwards|3|-30.648866653442383
19|a small, grey chair with its back to you|3|-33.16944885253906
20|a small, grey chair  |3|-31.065876007080078
21|a large, grey chair|3|-31.3020076751709
22|"a small, grey chair"""|3|-31.690876007080078
23|a small chair|3|-30.304065704345703
24|a small, grey chair that is facing backwards|3|-32.467864990234375
25|a small gray chair|3|-29.985742568969727
26|a small, grey chair facing backward|3|-29.2814884185791
27|a large, grey chair facing backwards|3|-29.726972579956055
28|a small-grey-chair-facing-backwards|3|-31.11578941345215
29|a small grey chair|3|-24.300121307373047
30|a|3|-28.858808517456055
31|a chair facing backwards|3|-30.111433029174805
32|a small, grey chair facing forwards|3|-30.7893009185791
33|a small, gray chair facing backwards|3|-31.03639030456543
34|a small grey desk facing backwards|3|-29.567047119140625
35|a large grey chair facing backwards|3|-31.615467071533203
36|a small, grey chair|3|-25.331501007080078
37|a small, grey chair |3|-27.956501007080078
38|a small, grey chair facing backwards|3|-23.2111759185791
39|a small, grey desk|3|-30.22181510925293
40|a grey, small chair facing backwards|3|-31.643096923828125
41|a backwards-facing small grey chair|3|-31.480575561523438
42|a small Grey chair|3|-31.5546817779541
43|a large red chair facing backwards|3|-31.645977020263672
44|a small grey facing backwards chair|3|-31.281673431396484
0|a large desk|4|-29.442184448242188
1|a large,|4|-31.98434066772461
2|a large grey desk, facing forwards|4|-31.870418548583984
3|a grey, large desk facing forwards|4|-32.42399597167969
4|a large, grey desk|4|-25.233261108398438
5|a large desk, facing forwards|4|-31.488075256347656
6|a large, grey desk faced forwards|4|-31.996734619140625
7|a large grey desk is facing forwards|4|-31.948057174682617
8|a grey desk facing forwards|4|-28.31791114807129
9|a large, grey desk  (5)|4|-32.06227493286133
10|a grey desk facing forwards |4|-31.85697364807129
11|a large, grey desk facing forward|4|-32.44304656982422
12|a large grey desk facing forwards |4|-30.285781860351562
13|a large, grey table|4|-31.802637100219727
14|a large grey desk facing forwards|4|-27.020156860351562
15|a large grey desk|4|-31.245784759521484
16|a large, grey chair facing forwards|4|-30.101806640625
17|a large grey desk |4|-30.972347259521484
18|a small, grey desk facing backwards|4|-29.52921485900879
19|a large, grey desk face forwards|4|-31.94557762145996
20|a large grey desk facing forwards in the room|4|-32.123905181884766
21|a large, grey desk faces forwards|4|-30.63802719116211
22|a large, grey desk facing forwards|4|-23.26509666442871
23|a small, grey desk facing forwards|4|-31.91983985900879
24|a large, grey desk is facing forwards|4|-30.094453811645508
25|a grey chair facing forwards|4|-31.887195587158203
26|"a large grey desk facing forwards"""|4|-31.582656860351562
27|a large, grey desk that is facing forwards|4|-31.03030776977539
28|a large grey desk  facing forwards|4|-31.334199905395508
29|a|4|-29.479459762573242
30|a large, grey desk  |4|-30.920761108398438
31|a large, grey desk |4|-27.920761108398438
32|a large desk facing forwards|4|-28.040170669555664
33|a small grey desk facing backwards|4|-31.524375915527344
34|a large, grey desk  facing forwards|4|-29.04644775390625
35|a chair facing forwards|4|-31.845745086669922
