,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large blue facing left chair,-9.370600700378418,topk,,"a large, blue chair with its back to us",-33.51017761230469,topk,,"a large, green chair facing the left",-32.63974380493164,topk,,"a  small, grey chair facing forwards",-32.93313217163086,topk,,"a large fan, facing backwards",-31.76640510559082,topk,,a fan facing to the left,-31.654935836791992,topk,,"a small, grey fan face forwards",-31.93650245666504,topk,
1,a blue chair facing left,-8.54752254486084,topk,,a backwards-facing blue chair,-31.35033226013184,topk,,a chair that is green and large and facing to the left,-33.86384963989258,topk,,a small grey chair,-27.05720329284668,topk,,a blue fan is facing backwards,-32.594425201416016,topk,,a green chair facing to the left,-29.824121475219727,topk,,"a grey, small fan facing forwards",-30.465044021606445,topk,
2,"a large, blue chair, facing to the left",-7.438507080078125,topk,,a blue chair facing backwards,-27.596010208129883,topk,,"a large, green, left-facing chair",-32.464786529541016,topk,,a small grey fan facing forwards,-32.14928436279297,topk,,a large fan is facing backwards,-31.95355987548828,topk,,"a large, green chair",-31.99128150939941,topk,,"a small, grey fan is facing forwards",-30.07655334472656,topk,
3,a large blue chair ,-8.392463684082031,topk,,"a large, blue chair facing the wall",-32.533870697021484,topk,,"a large, green chair to the left",-33.09416198730469,topk,,a large blue chair facing to the left,-30.80217170715332,topk,,a large blue chair facing to the left,-32.54240798950195,topk,,a large green fan to the left,-32.7041130065918,topk,,a small grey fan facing forwards,-29.13735580444336,topk,
4,a blue chair is facing to the left,-9.61451530456543,topk,,"a blue chair, facing backwards",-31.916969299316406,topk,,"a chair that is green, large, and facing left",-34.02775573730469,topk,,a small grey chair facing forwards,-24.94715118408203,topk,,a blue fan facing backwards,-28.96805763244629,topk,,a green fan faces left,-32.07587432861328,topk,,a small grey fan  facing forwards,-30.734376907348636,topk,
5,a large blue chair facing leftward,-9.70488739013672,topk,,a small grey chair,-30.550704956054688,topk,,a large blue chair facing to the left,-31.147932052612305,topk,,a small grey chair facing forward,-29.00965118408203,topk,,a green fan facing to the left,-31.932844161987305,topk,,a green chair,-30.77117156982422,topk,,"a large, green chair",-31.260475158691406,topk,
6,"a large, blue chair 1",-8.459846496582031,topk,,a small grey fan facing forwards,-31.968141555786133,topk,,"a large, green chair  (3)",-32.48994445800781,topk,,a small grey chair facing to the front,-32.312522888183594,topk,,a blue fan in the room,-32.19187927246094,topk,,a green fan facing to the left,-31.631336212158203,topk,,a large blue chair facing to the left,-31.66033935546875,topk,
7,a large blue chair facing to the left,-4.739996433258057,topk,,a large blue chair facing to the left,-32.562255859375,topk,,"a chair that is large, green, and facing to the left",-33.097896575927734,topk,,a green chair,-31.71583747863769,topk,,"a  large, blue fan  facing backwards",-32.579158782958984,topk,,a green fan ,-31.869747161865234,topk,,"a small, grey fan""",-30.773815155029297,topk,
8,a big blue chair facing left,-8.333407402038574,topk,,a large blue chair facing backward,-30.527019500732425,topk,,a green chair,-25.323266983032227,topk,,a grey chair,-26.791994094848636,topk,,a blue fan facing to the left,-31.566164016723636,topk,,a large green fan facing the left,-30.69911766052246,topk,,a small grey chair facing forwards,-30.068443298339844,topk,
9,a large blue chair facing left in the room,-9.32654094696045,topk,,a large chair facing backwards,-30.768468856811523,topk,,a large chair facing to the left,-29.795869827270508,topk,,a small grey chair ,-29.87751579284668,topk,,a large fan facing backwards,-28.344337463378903,topk,,a green fan is facing to the left,-31.80227470397949,topk,,a grey fan facing forward,-30.919527053833008,topk,
