,Unnamed: 0,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,0,"a green desk facing forwards, small in size",2.5441772343374717e-05,topk,0.012344058843770208,"a large, green desk facing to the right",8.522980642787377e-14,topk,0.008534952236286128,a large desk,0.0007307384628468441,topk,0.019387269691736146,a grey desk facing the left,6.209202201008858e-05,topk,0.016291609414977443,a chair facing to the right,0.0003028159237191894,topk,0.020027542006086835,"a large, green chair  ",4.378458530598492e-15,topk,0.022504586227985457,a chair facing to the left,5.4555897148524406e-14,topk,0.016955687794623395
1,1,a green small desk facing forwards,0.00014137600933068845,topk,0.01442935514602202,a green desk facing the right,1.869484875317332e-14,topk,0.017414992694128856,"a large, green desk facing to the right",1.0275416714536109e-05,topk,0.0021913892018492398,a large desk,2.669653347629682e-05,topk,0.020690373214780042,"a small, green chair  facing to the right",0.0006393231238157492,topk,0.013721095468398697,"a large, green chair facing to the left",8.141275978811624e-16,topk,0.0032974674173644448,"a large, grey chair facing the left",3.759393349427138e-14,topk,0.013127720018827303
2,2,a small desk facing forwards,0.0028670255822887767,topk,0.014852787402685658,a small green desk facing to the right,1.015323698189679e-12,topk,0.014193999722726044,a desk,0.00011881972210059933,topk,0.026388480578352087,a desk,0.00037300648195293486,topk,0.026428140759714232,"a  small, green chair facing to the right",9.435440749273363e-05,topk,0.01359751045845765,a large green chair is facing forwards,3.4547386423073085e-15,topk,0.014026476932604889,"a  large, grey chair facing to the left",9.638912594221746e-15,topk,0.011737145191840203
3,3,a small green desk facing forwards ,0.0005465266387748962,topk,0.014215675121444352,"a  small, green desk facing to the right",1.1977717536872733e-14,topk,0.013506445537370569,"a large desk, facing forwards, green",1.4049652164146665e-05,topk,0.009771740158533595,a desk facing left,9.155975683238915e-05,topk,0.021432285113934586,a small green chair ,8.3001398246828e-05,topk,0.021719126206940685,a green chair that is facing forwards,3.376100331850892e-15,topk,0.012551372312106462,a grey chair facing the left,1.097875406858594e-14,topk,0.01595606821047875
4,4,a desk,6.872994174253369e-05,topk,0.025197808734880908,"a small green desk facing to the right""",8.382010105372006e-15,topk,0.014517138476987311,a large green desk facing to the left,1.3168252514345783e-05,topk,0.004670623489760158,"a large desk, grey in color, facing to the left",2.2318215206059443e-05,topk,0.01006028049671364,a small green desk facing to the right,0.00011952828082711929,topk,0.00034817455043952044,"a large, green chair  facing forwards",3.286428739362486e-14,topk,0.014109616072581675,"a large, grey chair face to the left",5.4198671350295515e-15,topk,0.012727662815471103
5,5,a small green desk facing to the right,4.854464377762437e-05,topk,0.000816437193519216,a desk facing to the right,1.0602828343492543e-14,topk,0.01876238188258276,a large green desk  facing forwards,4.6208100505332384e-05,topk,0.013609047092782257,"a large desk, facing to the left, grey in color",2.795349620285406e-06,topk,0.010063352756034748,"a small, green chair 5",0.00016239141594843372,topk,0.01631869828387581,"a  large, green chair facing forwards",1.0162915643951606e-14,topk,0.013880738009276864,"a large, grey, chair facing to the left",2.00558239723535e-15,topk,0.011758525100643612
6,6,a small green desk facing forwards is in the room,3.7412179569895656e-05,topk,0.010093912725093478,a desk facing right,3.297711830068601e-14,topk,0.021739041402498525,a green chair facing forwards,3.8648320060368806e-05,topk,0.0003618478281593449,"a grey, large desk facing to the left",3.8317681234630094e-05,topk,0.012214846690535614,"a small, green chair, facing to the right",0.0009666572890413076,topk,0.013594054173709269,a green chair facing forwards,3.1528072798009457e-15,topk,0.015326824183407473,a grey chair,3.194280572979095e-15,topk,0.032366505230668224
7,7,a little green desk facing forward,4.4930593985736646e-05,topk,0.013072735409449891,a small green desk facing the right,9.894716146582087e-14,topk,0.014958948446250493,"a large, green desk that is facing forwards",3.285913871938936e-05,topk,0.01055119307450151,a desk facing to the left,0.0002933658750115306,topk,0.016697999390259052,a green desk chair facing to the right,0.00018612018584730905,topk,0.012523851827969232,a large green chair facing to the right,7.924312453616093e-15,topk,0.003235306607555936,"a large, grey chair faced to the left",1.832013324822381e-15,topk,0.01240816705332874
8,8,a small green desk ,0.00013676313205919635,topk,0.01904712611402253,a small green desk ,1.076078453590595e-14,topk,0.010879559260226183,"a large desk, facing forwards",3.214537841010704e-05,topk,0.012977342029550865,"a  large, grey desk facing to the left",6.0400373442177814e-05,topk,0.01178206342616247,"a small, green chair facing  to the right",6.829970469308147e-05,topk,0.013706504810125962,a big green chair facing forward,6.704937462727937e-15,topk,0.016320888828715532,"a large, grey chair facing left",5.2333167758902985e-14,topk,0.014919835298642879
9,9,a small,5.676266613751871e-05,topk,0.02120177454831859,"a small, green desk facing  to the right",7.721118448762724e-15,topk,0.013483417044950494,a large green desk facing forwards,0.0165805997173568,topk,0.013912458740325727,a large desk facing to the left,0.0005814868816068872,topk,0.01404186288680605,a small,8.00445614485053e-05,topk,0.01551068021517086,"a large, green chair is facing forwards",1.503764531348117e-14,topk,0.013661956291224598,"a large, grey chair on the left",3.0210094052028077e-15,topk,0.014297190927046932
