,Unnamed: 0,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,0,"a large,",5.155742874677564e-05,topk,0.0,"a  large, grey chair facing forwards",1.882706349555494e-14,topk,0.02193886032172545,"a large red chair, facing backwards",2.038783436508662e-06,topk,0.01936134100101599,"a small, grey, backwards-facing chair",0.0001387970781243017,topk,0.02325601915773861,a large desk,1.4359522992275686e-13,topk,0.027130877503653516,a large desk,0.0004159997022653949,topk,0.02381828143512645,"a small, grey desk ",0.000641084386460959,topk,0.033492237968830864
1,1,a large grey chair facing away,0.00010995068757682854,topk,0.022890013547501885,"a large,",6.847200252267828e-15,topk,0.0,"a large,",5.452928287495474e-05,topk,0.0,"a small, grey desk ",0.00010477712510062176,topk,0.0,"a large,",1.130044628031792e-14,topk,0.0,"a large,",0.00015378066019856355,topk,0.0,a small gray desk facing backwards,4.097627537046206e-05,topk,0.01871625062964078
2,2,"a grey chair, large, facing backwards",4.979776805218777e-05,topk,0.01855947044392045,"a large, grey chair is facing forwards",1.225960592218376e-14,topk,0.02078418346268727,"a  large, red chair facing backwards",4.3123215584679754e-05,topk,0.01882352597320999,"a small, grey, facing-backwards chair",5.632268848763835e-05,topk,0.02325601915773861,"a large grey desk, facing forwards",1.2664012858193673e-14,topk,0.019151207649637778,a desk,0.0003239895452204782,topk,0.031757708580168596,"a small, grey desk faced backwards",2.5378722907764564e-05,topk,0.01871625062964078
3,3,"a large, grey facing backwards",5.323885048493519e-05,topk,0.022890013547501885,a grey chair,1.2815430084566337e-14,topk,0.02193886032172545,a red chair that is facing backwards,1.9645505326895406e-05,topk,0.01882352597320999,a small grey chair with its back to you,1.5252652377965557e-05,topk,0.022063402790675087,"a grey, large desk facing forwards",1.3222198476714058e-14,topk,0.019151207649637778,a large desk facing backwards,0.0031432690729702372,topk,0.019711681187690858,"a small grey desk, facing backwards",4.154692181397834e-05,topk,0.018181500611651042
4,4,a grey chair,6.130793701278396e-05,topk,0.019075011289584904,a large grey chair  facing forwards,4.230104457712915e-15,topk,0.02256568490234618,"a chair, red",1.9638874109802648e-05,topk,0.05647057791962998,a ,0.00013299128757575802,topk,0.0,"a large, grey desk",9.661669883928032e-12,topk,0.03617450333820469,"a large, red desk facing",0.00010821420281377338,topk,0.02381828143512645,a grey desk facing backwards,0.00010732923155917035,topk,0.022726875764563805
5,5,a large grey chair  facing backwards,3.4645460454173384e-05,topk,0.019075011289584904,"a large grey chair facing forwards""",4.5573749929593525e-15,topk,0.02256568490234618,a red chair in the room,1.7155454959129057e-05,topk,0.029462910218937374,a grey desk facing backwards,0.000488844892703967,topk,0.0,a large grey desk is facing forwards,1.5745955706838466e-14,topk,0.018087251669102345,"a large, red chair facing backwards",0.0006091953648007938,topk,0.0,"a small, grey desk facing",2.737246320324895e-05,topk,0.02545410085631146
6,6,"a large, grey chair  facing backwards",0.00014825567199610267,topk,0.01855947044392045,"a large, grey chair faces forwards",4.984357188925768e-15,topk,0.023229381517121065,a red chair,0.004111045424241381,topk,0.06160426682141452,"a large, red chair facing backwards",0.0018149198972632638,topk,0.0,a grey desk facing forwards,2.5726503842692735e-14,topk,0.024116335558803124,"a large, red desk, facing backwards",0.00011672447500764066,topk,0.016332535841229564,a small chair facing backwards,2.4833181415537795e-05,topk,0.0
7,7,"a grey chair, facing backwards",0.0005137668313264087,topk,0.011445006773750942,"a large, grey chair  facing forwards",4.764698716431924e-14,topk,0.02193886032172545,"a large, red, facing-backwards chair",5.659750933933491e-06,topk,0.01882352597320999,a small gray chair facing backwards,0.0005164659241669473,topk,0.02458493453818081,"a large, grey desk  (5)",1.0453197930313123e-14,topk,0.02831048087337758,"a large, red desk with its back facing you",4.786522279595382e-05,topk,0.013610446534357973,a small grey desk facing backward,9.497912775634162e-05,topk,0.019283409739629897
8,8,a large grey chair that is facing backwards,5.516996143357289e-05,topk,0.015969776893605965,a backwards grey chair,4.2355298207350334e-15,topk,0.0,a large,5.516532234703351e-05,topk,0.0,a small grey desk,0.00038531844635062313,topk,0.0,a grey desk facing forwards ,1.2835429005519912e-14,topk,0.02325503786027444,a large red desk facing backwards,0.007163940032578592,topk,0.017322386498273782,"a small, grey table facing backwards",1.8318315234063926e-05,topk,0.01767645892799407
9,9,"a large, grey, backwards-facing chair",0.00010517885404807361,topk,0.01855947044392045,a large grey chair facing forwards,7.428519746826595e-13,topk,0.023229381517121065,a large red chair facing backwards in the room,1.0607136315275596e-05,topk,0.014731455109468687,a small,0.00017024223329412013,topk,0.0,"a large, grey desk facing forward",1.9535105507049503e-14,topk,0.019731547275384377,"a large, red desk that is facing backwards",0.00018970859682302733,topk,0.013610446534357973,a small grey desk,6.313087130283397e-05,topk,0.03743250125928156
